repo,url,log_path,log_exit_code,pred_cpu,pred_ram,pred_disk,pred_gpu,need_cpu,need_ram,need_disk,need_gpu,reserved_cpu,reserved_ram,reserved_disk,reserved_gpu
facebook_zstd,https://github.com/facebook/zstd,/home/cc/EnvAgent-plus/logs/20251216_091620_facebook_zstd.log,1,4.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
flex,https://github.com/uiuc-arc/flex,/home/cc/EnvAgent-plus/logs/20251216_091219_uiuc-arc_flex.log,1,2.0,4.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
fmtlib_fmt,https://github.com/fmtlib/fmt,/home/cc/EnvAgent-plus/logs/20251216_091815_fmtlib_fmt.log,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
gluetest,https://github.com/seal-research/gluetest,/home/cc/EnvAgent-plus/logs/20251216_091150_seal-research_gluetest.log,1,2.0,4.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
grpc_grpc-go,https://github.com/grpc/grpc-go,/home/cc/EnvAgent-plus/logs/20251216_092049_grpc_grpc-go.log,1,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
iamkun_dayjs,https://github.com/iamkun/dayjs,/home/cc/EnvAgent-plus/logs/20251216_092454_iamkun_dayjs.log,1,1.0,1.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
jqlang_jq,https://github.com/jqlang/jq,/home/cc/EnvAgent-plus/logs/20251216_091651_jqlang_jq.log,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
mockito_mockito,https://github.com/mockito/mockito,/home/cc/EnvAgent-plus/logs/20251216_092300_mockito_mockito.log,1,2.0,4.0,5.0,1.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
mui_material-ui,https://github.com/mui/material-ui,/home/cc/EnvAgent-plus/logs/20251216_093226_mui_material-ui.log,1,2.0,4.0,10.0,1.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
nlohmann_json,https://github.com/nlohmann/json,/home/cc/EnvAgent-plus/logs/20251216_091839_nlohmann_json.log,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
nushell_nushell,https://github.com/nushell/nushell,/home/cc/EnvAgent-plus/logs/20251216_092743_nushell_nushell.log,1,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
ponylang_ponyc,https://github.com/ponylang/ponyc,/home/cc/EnvAgent-plus/logs/20251216_091716_ponylang_ponyc.log,1,2.0,4.0,10.0,1.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
probfuzz,https://github.com/uiuc-arc/probfuzz,/home/cc/EnvAgent-plus/logs/20251216_091117_uiuc-arc_probfuzz.log,1,2.0,4.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
rayon-rs_rayon,https://github.com/rayon-rs/rayon,/home/cc/EnvAgent-plus/logs/20251216_092951_rayon-rs_rayon.log,1,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
rfuse,https://github.com/snu-csl/rfuse,/home/cc/EnvAgent-plus/logs/20251216_091509_snu-csl_rfuse.log,1,80.0,256.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
serde-rs_serde,https://github.com/serde-rs/serde,/home/cc/EnvAgent-plus/logs/20251216_092820_serde-rs_serde.log,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
sharkdp_bat,https://github.com/sharkdp/bat,/home/cc/EnvAgent-plus/logs/20251216_092851_sharkdp_bat.log,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
sharkdp_fd,https://github.com/sharkdp/fd,/home/cc/EnvAgent-plus/logs/20251216_092922_sharkdp_fd.log,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
simdjson_simdjson,https://github.com/simdjson/simdjson,/home/cc/EnvAgent-plus/logs/20251216_091914_simdjson_simdjson.log,1,2.0,4.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
sixthsense,https://github.com/uiuc-arc/sixthsense,/home/cc/EnvAgent-plus/logs/20251216_091050_uiuc-arc_sixthsense.log,1,4.0,8.0,10.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0
sveltejs_svelte,https://github.com/sveltejs/svelte,/home/cc/EnvAgent-plus/logs/20251216_092601_sveltejs_svelte.log,1,2.0,4.0,5.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
tokio-rs_bytes,https://github.com/tokio-rs/bytes,/home/cc/EnvAgent-plus/logs/20251216_093024_tokio-rs_bytes.log,1,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
tokio-rs_tokio,https://github.com/tokio-rs/tokio,/home/cc/EnvAgent-plus/logs/20251216_093052_tokio-rs_tokio.log,1,2.0,2.0,1.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
tokio-rs_tracing,https://github.com/tokio-rs/tracing,/home/cc/EnvAgent-plus/logs/20251216_093119_tokio-rs_tracing.log,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
vuejs_core,https://github.com/vuejs/core,/home/cc/EnvAgent-plus/logs/20251216_093317_vuejs_core.log,1,2.0,4.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
yhirose_cpp-httplib,https://github.com/yhirose/cpp-httplib,/home/cc/EnvAgent-plus/logs/20251216_091949_yhirose_cpp-httplib.log,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
zeromicro_go-zero,https://github.com/zeromicro/go-zero,/home/cc/EnvAgent-plus/logs/20251216_092119_zeromicro_go-zero.log,1,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
